Name	World	Description	Win	Loss	ID	URL	Owner
Kim Possible	Disney	Child	0	0	0	https://upload.wikimedia.org/wikipedia/en/2/2b/Kim_Possible_%28character_design%29.png	CyrilPillai
Kirby	DreamLand	Animal that eats a lot	1	6	0	https://static.wikia.nocookie.net/kirby/images/4/4e/KatFL_Kirby_artwork.png/revision/latest?cb=20220130163926&path-prefix=en	Lauren
Speed	Earth	Stupid	1	0	0	https://i.ytimg.com/vi/wYZux3BMc5k/maxresdefault.jpg	Cyril
Superman	DC	strength	1	0	0	https://img.mensxp.com/media/content/2021/Aug/Michael-B-Jordan-Black-Superman-HBO-Limited-Series1200_610622953bbaf.jpeg	Cyril
Batman	DC	smurt	1	0	0	https://static.wikia.nocookie.net/batman/images/8/8f/Christian_Bale_as_The_Dark_Knight.jpg/revision/latest?cb=20210312234853	Cyril
Ferb	Disney	Child	0	0	0	https://static.wikia.nocookie.net/phineasandferb/images/b/ba/Ferb_Fletcher.png/revision/latest?cb=20120208192233	CyrilPillai
Phineas	Disney	Child	0	0	0	https://upload.wikimedia.org/wikipedia/en/5/52/Phineas_Flynn.png	CyrilPillai
Matthew Mayer	Earth	everything	1	0	0	https://d1nnrx9kca53zl.cloudfront.net/images/2021/10/27/BU_MBB_Mayer_Matthew_2022_headshot.jpg?width=275	Cyril
Kirby	DreamLand	Animal that eats a lot	1	6	0	https://static.wikia.nocookie.net/kirby/images/4/4e/KatFL_Kirby_artwork.png/revision/latest?cb=20220130163926&path-prefix=en	Lauren
Speed	Earth	Stupid	1	0	0	https://i.ytimg.com/vi/wYZux3BMc5k/maxresdefault.jpg	Cyril
Ferb	Disney	Child	0	0	0	https://static.wikia.nocookie.net/phineasandferb/images/b/ba/Ferb_Fletcher.png/revision/latest?cb=20120208192233	CyrilPillai
Phineas	Disney	Child	0	0	0	https://upload.wikimedia.org/wikipedia/en/5/52/Phineas_Flynn.png	CyrilPillai
Speed	Earth	Stupid	1	0	0	https://i.ytimg.com/vi/wYZux3BMc5k/maxresdefault.jpg	Cyril
Ferb	Disney	Child	0	0	0	https://static.wikia.nocookie.net/phineasandferb/images/b/ba/Ferb_Fletcher.png/revision/latest?cb=20120208192233	CyrilPillai
